Game,"Camp ID",Publisher,Country,OS,"Conversions (total for  last 7 days)"
"Dragon Mania Legends",204,Applovin,,iOS,0
"Dragon Mania Legends",206,Adcolony,,iOS,2269
"Dragon Mania Legends",224,Applifier,,iOS,48
"Dragon Mania Legends",262,Supersonic,,iOS,0
"Dragon Mania Legends",286,InMobi,,iOS,0
"Dragon Mania Legends",290,Adcolony,,Android,1
"Dragon Mania Legends",292,Applifier,,Android,1666
"Dragon Mania Legends",294,Vungle,,Android,0
"Dragon Mania Legends",345,Apptao,,iOS,320
"Dragon Mania Legends",347,Adcolony,CN,iOS,0
"Dragon Mania Legends",381,Pinsight,,Android,0
"Dragon Mania Legends",793,Adcolony,"United States",iOS,0
"Dragon Mania Legends",900,Conversant,,Android,0
"Dragon Mania Legends",914,Nativex,,iOS,0
"Dragon Mania Legends",958,Heyzap,,iOS,0
"Dragon Mania Legends",1026,Canalpluss,,iOS,0
"Dragon Mania Legends",1106,Gameloft,,iOS,3436
"Dragon Mania Legends",1108,Gameloft,,Android,3190
"Dragon Mania Legends",1328,Heyzap,,Android,0
"Dragon Mania Legends",1554,Fyber,Russia,iOS,513
"Dragon Mania Legends",1744,Google,,Android,2388
"Dragon Mania Legends",1746,Google,France,Android,5341
"Dragon Mania Legends",2150,Google,Germany,Android,3989
"Dragon Mania Legends",2180,Chartboost,France,iOS,275
"Dragon Mania Legends",2184,Chartboost,Australia,iOS,65
"Dragon Mania Legends",2186,Chartboost,Germany,iOS,500
"Dragon Mania Legends",2328,Adcolony,China,iOS,347
"Dragon Mania Legends",2330,Applifier,China,iOS,3979
"Dragon Mania Legends",2352,Google,"United Kingdom",Android,1665
"Dragon Mania Legends",2378,Vungle,"United States - Canada","Windows 8",1447
"Dragon Mania Legends",2410,Gameloft,,"Windows 8",315
"Dragon Mania Legends",2412,Gameloft,,"Windows Phone 8",307
"Dragon Mania Legends",2496,Fyber,China,iOS,0
"Dragon Mania Legends",2510,Facebook,,iOS,1691
"Dragon Mania Legends",2512,Facebook,,Android,1537
"Dragon Mania Legends",2644,Chartboost,China,iOS,0
"Dragon Mania Legends",2758,Tapjoy,Australia,Android,78
"Dragon Mania Legends",2820,Nativex,Germany,Android,0
"Dragon Mania Legends",2824,Fyber,Turkey,iOS,80
"Dragon Mania Legends",2930,Gameloftmobile,,iOS,17
"Dragon Mania Legends",2948,Tapjoy,"United Arab Emirates",iOS,84
"Dragon Mania Legends",3066,Vungle,Germany,Android,2508
"Dragon Mania Legends",3068,Applike,Germany,Android,971
"Dragon Mania Legends",3096,Google,,Android,1
"Dragon Mania Legends",3098,Google,Ireland,Android,3
"Dragon Mania Legends",3100,Google,Italy,Android,2311
"Dragon Mania Legends",3104,Google,"South Korea",Android,1
"Dragon Mania Legends",3106,Google,Mexico,Android,33
"Dragon Mania Legends",3108,Google,Russia,Android,10811
"Dragon Mania Legends",3148,Google,France,iOS,518
"Dragon Mania Legends",3150,Google,Germany,iOS,24
"Dragon Mania Legends",3154,Google,Ireland,iOS,1
"Dragon Mania Legends",3156,Google,Italy,iOS,2
"Dragon Mania Legends",3164,Google,Russia,iOS,83
"Dragon Mania Legends",3170,Google,"United Kingdom",iOS,223
"Dragon Mania Legends",3172,Google,,iOS,1
"Dragon Mania Legends",3488,Motive,Germany,Android,0
"Disney Kingdom",3500,Gameloft,,iOS,9576
"Disney Kingdom",3502,Gameloft,,Android,11261
"Dragon Mania Legends",3504,Applifier,Turkey,iOS,52
"Disney Kingdom",3518,Facebook,,iOS,8311
"Disney Kingdom",3520,Facebook,,Android,4366
"Disney Kingdom",3552,Google,France,Android,162
"Disney Kingdom",3560,Google,Italy,Android,57
"Disney Kingdom",3564,Google,"South Korea",Android,18
"Disney Kingdom",3574,Google,"United Kingdom",Android,1
"Disney Kingdom",3576,Google,,Android,14
"Disney Kingdom",3586,Adcolony,"United States - Canada",iOS,4718
"Disney Kingdom",3592,Fyber,Germany,iOS,0
"Disney Kingdom",3608,Adcolony,France,iOS,0
"Dragon Mania Legends",3612,Applifier,"United States - Canada",iOS,725
"Dragon Mania Legends",3614,Applifier,"United States - Canada",Android,0
"Disney Kingdom",3620,Applifier,"United States - Canada",iOS,5679
"Disney Kingdom",3624,Adcolony,Australia,iOS,766
"Disney Kingdom",3626,Adcolony,Australia,Android,906
"Disney Kingdom",3632,Tapjoy,Australia,iOS,83
"Disney Kingdom",3636,Applifier,Australia,iOS,0
"Disney Kingdom",3642,Chartboost,"United States - Canada",iOS,70
"Disney Kingdom",3646,Chartboost,Australia,iOS,616
"Disney Kingdom",3654,Adcolony,"South Korea",iOS,150
"Disney Kingdom",3656,Adcolony,"South Korea",Android,604
"Disney Kingdom",3662,Applifier,Spain,iOS,0
"Disney Kingdom",3672,Applifier,Italy,iOS,0
"Disney Kingdom",3678,Youtube,"United States",iOS,96
"Disney Kingdom",3680,Youtube,"United States",Android,69
"Disney Kingdom",3732,Adcolony,Germany,Android,0
"Dragon Mania Legends",3740,Youtube,"United States",iOS,195
"Dragon Mania Legends",3742,Youtube,"United States",Android,196
"Disney Kingdom",3760,Gameloft,,"Windows 8",112
"Disney Kingdom",3762,Gameloft,,"Windows Phone 8",1020
"Disney Kingdom",3798,Vungle,France,"Windows 8",112
"Disney Kingdom",3800,Vungle,"United Kingdom","Windows 8",28
"Disney Kingdom",3802,Vungle,Germany,"Windows 8",109
"Disney Kingdom",3804,Vungle,Italy,"Windows 8",55
"Disney Kingdom",3806,Vungle,Russia,"Windows 8",87
"Disney Kingdom",3808,Vungle,"United States","Windows 8",0
"Disney Kingdom",3810,Vungle,Canada,"Windows 8",47
"Disney Kingdom",3812,Vungle,Australia,"Windows 8",15
"Disney Kingdom",3850,Adcolony,"Hong Kong",iOS,75
"Disney Kingdom",3854,Adcolony,Taiwan,iOS,178
"Disney Kingdom",3858,Applifier,"Hong Kong",iOS,326
"Disney Kingdom",3860,Applifier,"Hong Kong",Android,0
"Disney Kingdom",3862,Applifier,Taiwan,iOS,379
"Disney Kingdom",3864,Applifier,Taiwan,Android,17
"Disney Kingdom",3868,Vungle,"Hong Kong",Android,649
"Disney Kingdom",3870,Vungle,Taiwan,iOS,226
"Disney Kingdom",3872,Vungle,Taiwan,Android,768
"Disney Kingdom",3884,Tapjoy,"United Kingdom",iOS,1058
"Disney Kingdom",3886,Tapjoy,"United Kingdom",Android,701
"Disney Kingdom",3888,Applifier,"United Kingdom",iOS,303
"Dragon Mania Legends",3912,Chartboost,France,Android,898
"Dragon Mania Legends",3914,Chartboost,"United States - Canada",Android,0
"Dragon Mania Legends",3938,Sharkgames,Russia,iOS,2
"Dragon Mania Legends",3942,Sharkgames,Russia,Android,133
"Dragon Mania Legends",3948,Mobio,Russia,iOS,1166
"Dragon Mania Legends",3950,Adcolony,China,iOS,959
"Disney Kingdom",3982,Twitter,"United States - Canada",iOS,3
"Disney Kingdom",3984,Twitter,"United States - Canada",Android,1
"Disney Kingdom",3990,Twitter,"United Kingdom",iOS,2
"Disney Kingdom",3992,Twitter,"United Kingdom",Android,1
"Dragon Mania Legends",4002,Twitter,"United Kingdom",iOS,1
"Disney Kingdom",4006,Cheetahmobile,"South Korea",Android,187
"Disney Kingdom",4010,Applifier,"South Korea",Android,0
"Dragon Mania Legends",4016,Mobio,Russia,Android,73
"Dragon Mania Legends",4020,Zorkamobi,,Android,1512
"Dragon Mania Legends",4054,Google,Australia,Android,441
"Disney Kingdom",4082,Google,Australia,Android,13
"Dragon Mania Legends",4088,Google,SEMEA,iOS,17
"Dragon Mania Legends",4090,Google,SEMEA,Android,1936
"Dragon Mania Legends",4124,Vungle,Mexico,"Windows 8",286
"Dragon Mania Legends",4126,Vungle,Brazil,"Windows 8",0
"Dragon Mania Legends",4128,Vungle,Belgium,"Windows 8",63
"Dragon Mania Legends",4130,Vungle,Switzerland,"Windows 8",13
"Dragon Mania Legends",4132,Vungle,Netherlands,"Windows 8",56
"Dragon Mania Legends",4134,Vungle,Denmark,"Windows 8",74
"Dragon Mania Legends",4312,Bee7,China,iOS,94
"Dragon Mania Legends",4318,Twitter,"United Kingdom",Android,3
"Dragon Mania Legends",4358,Twitter,France,iOS,12
"Dragon Mania Legends",4360,Twitter,France,Android,13
"Dragon Mania Legends",4404,Twitter,Spain,Android,1
"Dragon Mania Legends",4510,Tapjoy,"United Kingdom",iOS,235
"Dragon Mania Legends",4512,Tapjoy,"United Kingdom",Android,67
"Disney Kingdom",4548,Adcolony,"United States - Canada",Android,3181
"Dragon Mania Legends",4576,Chartboost,Germany,Android,400
"Dragon Mania Legends",4580,Vungle,"United Kingdom",Android,0
"Dragon Mania Legends",4592,Applovin,Germany,Android,1409
"Dragon Mania Legends",4610,Applifier,Nordics,iOS,13
"Dragon Mania Legends",4612,Applifier,Nordics,Android,463
"Dragon Mania Legends",4704,Chartboost,"United Kingdom",iOS,3
"Dragon Mania Legends",4716,Adcolony,"IT - FR - UK",iOS,655
"Dragon Mania Legends",4726,Chartboost,Italy,Android,20
"Dragon Mania Legends",4736,Chartboost,Turkey,iOS,15
"Dragon Mania Legends",4742,Loopme,Germany,iOS,131
"Dragon Mania Legends",4744,Loopme,Germany,Android,616
"Disney Kingdom",4838,Vungle,Netherlands,"Windows 8",105
"Disney Kingdom",4840,Vungle,Switzerland,"Windows 8",18
"Disney Kingdom",4842,Vungle,Belgium,"Windows 8",89
"Disney Kingdom",4844,Vungle,Nordics,"Windows 8",84
"Disney Kingdom",4846,Vungle,Brazil,"Windows 8",477
"Disney Kingdom",4848,Vungle,Mexico,"Windows 8",318
"Dragon Mania Legends",4882,Appnexus,France,iOS,4
"Dragon Mania Legends",4884,Appnexus,"United Kingdom",iOS,4
"Dragon Mania Legends",4886,Applike,Austria,Android,90
"Dragon Mania Legends",4888,Vungle,"DE - AT - CH",iOS,274
"Dragon Mania Legends",4938,Adcolony,"Hong Kong",Android,158
"Dragon Mania Legends",4940,Applifier,"Hong Kong",iOS,26
"Dragon Mania Legends",4942,Applifier,"Hong Kong",Android,625
"Dragon Mania Legends",4944,Vungle,"Hong Kong",iOS,265
"Dragon Mania Legends",4946,Vungle,"Hong Kong",Android,254
"Dragon Mania Legends",4948,Bee7,"Hong Kong",iOS,23
"Dragon Mania Legends",4950,Bee7,"Hong Kong",Android,38
"Dragon Mania Legends",4956,Applifier,Taiwan,iOS,394
"Dragon Mania Legends",4958,Applifier,Taiwan,Android,1286
"Dragon Mania Legends",4960,Vungle,Taiwan,iOS,305
"Dragon Mania Legends",4962,Vungle,Taiwan,Android,827
"Dragon Mania Legends",4964,Bee7,Taiwan,iOS,13
"Dragon Mania Legends",4966,Bee7,Taiwan,Android,180
"Dragon Mania Legends",4968,Applike,"United Kingdom",Android,916
"Dragon Mania Legends",4974,Cpmstar,"Germany - Austria - Switzerland",iOS,0
"Dragon Mania Legends",4976,Cpmstar,"Germany - Austria - Switzerland",Android,17
"Disney Kingdom",4980,Applovin,"United States",iOS,7550
"Disney Kingdom",5012,Chartboost,"United Kingdom - Ireland",iOS,4
"Dragon Mania Legends",5028,Zorkamobi,Russia,iOS,423
"Dragon Mania Legends",5030,Tapjoy,Taiwan,iOS,0
"Dragon Mania Legends",5032,Tapjoy,Taiwan,Android,5
"Dragon Mania Legends",5044,Chartboost,Taiwan,iOS,13
"Dragon Mania Legends",5046,Chartboost,Taiwan,Android,33
"Dragon Mania Legends",5088,Tapjoy,"Hong Kong",iOS,0
"Dragon Mania Legends",5090,Tapjoy,"Hong Kong",Android,0
